id,outer,inner,displayName,damageMultiplierOverride,guaranteedCriticalOverride,additionalEffects
qian_qian,Qian,Qian,乾为天,,,
qian_dui,Qian,Dui,天泽履,,,
qian_li,Qian,Li,天火同人,,,
qian_zhen,Qian,Zhen,天雷无妄,,,
qian_xun,Qian,Xun,天风姤,,,
qian_kan,Qian,Kan,天水讼,,,
qian_gen,Qian,Gen,天山遁,,,
qian_kun,Qian,Kun,天地否,18000,,ApplyStatus|Enemy|Stacks|1|Vulnerable|1|2
dui_qian,Dui,Qian,泽天夬,,,
dui_dui,Dui,Dui,兑为泽,,,
dui_li,Dui,Li,泽火革,,,
dui_zhen,Dui,Zhen,泽雷随,,,
dui_xun,Dui,Xun,泽风大过,,,
dui_kan,Dui,Kan,泽水困,,,
dui_gen,Dui,Gen,泽山咸,,,
dui_kun,Dui,Kun,泽地萃,,,
li_qian,Li,Qian,火天大有,,,
li_dui,Li,Dui,火泽睽,,,
li_li,Li,Li,离为火,,,
li_zhen,Li,Zhen,火雷噬嗑,,,
li_xun,Li,Xun,火风鼎,,,
li_kan,Li,Kan,火水未济,,,ApplyStatus|Enemy|Stacks|1|Vulnerable|1|2
li_gen,Li,Gen,火山旅,,,
li_kun,Li,Kun,火地晋,,,
zhen_qian,Zhen,Qian,雷天大壮,,,
zhen_dui,Zhen,Dui,雷泽归妹,,,
zhen_li,Zhen,Li,雷火丰,,,
zhen_zhen,Zhen,Zhen,震为雷,,,
zhen_xun,Zhen,Xun,雷风恒,,,
zhen_kan,Zhen,Kan,雷水解,,,
zhen_gen,Zhen,Gen,雷山小过,,,
zhen_kun,Zhen,Kun,雷地豫,,,
xun_qian,Xun,Qian,风天小畜,,,
xun_dui,Xun,Dui,风泽中孚,,,
xun_li,Xun,Li,风火家人,,,
xun_zhen,Xun,Zhen,风雷益,,,
xun_xun,Xun,Xun,巽为风,,,
xun_kan,Xun,Kan,风水涣,,,
xun_gen,Xun,Gen,风山渐,,,
xun_kun,Xun,Kun,风地观,,,
kan_qian,Kan,Qian,水天需,,,
kan_dui,Kan,Dui,水泽节,,,
kan_li,Kan,Li,水火既济,,,
kan_zhen,Kan,Zhen,水雷屯,,,
kan_xun,Kan,Xun,水风井,,,
kan_kan,Kan,Kan,坎为水,,,
kan_gen,Kan,Gen,水山蹇,,,
kan_kun,Kan,Kun,水地比,,,
gen_qian,Gen,Qian,山天大畜,,,
gen_dui,Gen,Dui,山泽损,,,
gen_li,Gen,Li,山火贲,,,
gen_zhen,Gen,Zhen,山雷颐,,,
gen_xun,Gen,Xun,山风蛊,,,
gen_kan,Gen,Kan,山水蒙,,,
gen_gen,Gen,Gen,艮为山,,,
gen_kun,Gen,Kun,山地剥,,,
kun_qian,Kun,Qian,地天泰,12000,,GainEnergy|Self|Flat|1|None|0|0
kun_dui,Kun,Dui,地泽临,,,
kun_li,Kun,Li,地火明夷,,,
kun_zhen,Kun,Zhen,地雷复,,,
kun_xun,Kun,Xun,地风升,,,
kun_kan,Kun,Kan,地水师,,,
kun_gen,Kun,Gen,地山谦,,,
kun_kun,Kun,Kun,坤为地,,,
